id	name	provider	price	units
0	0-product	7	14	20
1	1-product	1	99	14
2	2-product	7	21	18
3	3-product	0	60	17
4	4-product	1	42	11
5	5-product	2	26	6
6	6-product	4	4	8
7	7-product	6	1	20
8	8-product	2	88	15
9	9-product	6	16	12
10	10-product	5	34	16
11	11-product	8	39	7
12	12-product	8	10	7
13	13-product	7	94	17
14	14-product	5	47	4
15	15-product	4	13	20
16	16-product	7	43	20
17	17-product	7	52	2
18	18-product	8	13	15
19	19-product	6	30	2
20	20-product	8	43	17
21	21-product	1	45	19
22	22-product	2	37	17
23	23-product	0	56	16
24	24-product	4	16	7
25	25-product	8	65	20
26	26-product	2	14	17
27	27-product	4	60	14
28	28-product	9	27	15
29	29-product	1	97	13
30	30-product	9	9	17
31	31-product	8	21	11
32	32-product	5	82	6
33	33-product	0	97	17
34	34-product	0	21	20
35	35-product	9	86	16
36	36-product	7	49	1
37	37-product	5	46	8
38	38-product	7	56	10
39	39-product	5	59	12
40	40-product	0	18	16
41	41-product	0	57	9
42	42-product	3	96	1
43	43-product	1	36	19
44	44-product	0	48	18
45	45-product	2	51	19
46	46-product	7	81	4
47	47-product	3	50	6
48	48-product	3	7	5
49	49-product	5	12	3
50	50-product	2	25	11
51	51-product	2	74	7
52	52-product	2	84	11
53	53-product	7	58	7
54	54-product	8	53	9
55	55-product	4	59	12
56	56-product	9	42	19
57	57-product	1	70	5
58	58-product	7	94	10
59	59-product	6	20	2
60	60-product	5	58	16
61	61-product	7	88	16
62	62-product	5	45	2
63	63-product	8	79	10
64	64-product	4	76	10
65	65-product	6	43	12
66	66-product	2	71	15
67	67-product	6	5	4
68	68-product	3	37	5
69	69-product	8	98	6
70	70-product	2	25	5
71	71-product	0	60	16
72	72-product	6	82	2
73	73-product	0	63	6
74	74-product	6	92	17
75	75-product	2	96	1
76	76-product	3	67	3
77	77-product	3	8	6
78	78-product	9	14	5
79	79-product	6	41	1
80	80-product	5	57	15
81	81-product	7	39	18
82	82-product	5	33	8
83	83-product	4	30	6
84	84-product	0	35	20
85	85-product	6	9	1
86	86-product	9	59	11
87	87-product	1	4	9
88	88-product	7	82	19
89	89-product	6	46	16
90	90-product	6	94	6
91	91-product	0	68	19
92	92-product	9	82	20
93	93-product	9	23	12
94	94-product	9	53	3
95	95-product	6	36	2
96	96-product	9	40	8
97	97-product	0	55	2
98	98-product	0	13	17
99	99-product	1	18	6
100	100-product	0	8	20
101	101-product	7	6	3
102	102-product	3	38	15
103	103-product	4	38	18
104	104-product	9	13	10
105	105-product	5	27	14
106	106-product	2	70	13
107	107-product	8	66	1
108	108-product	0	75	4
109	109-product	9	32	6
110	110-product	2	51	18
111	111-product	4	6	2
112	112-product	9	76	12
113	113-product	8	40	17
114	114-product	5	33	15
115	115-product	1	44	6
116	116-product	4	51	13
117	117-product	7	28	13
118	118-product	2	32	17
119	119-product	4	4	12
120	120-product	5	84	15
121	121-product	8	27	19
122	122-product	0	25	4
123	123-product	7	50	4
124	124-product	9	70	5
125	125-product	7	37	9
126	126-product	5	85	1
127	127-product	2	66	4
128	128-product	7	8	6
129	129-product	3	27	11
130	130-product	9	81	18
131	131-product	1	23	6
132	132-product	0	82	8
133	133-product	8	30	3
134	134-product	7	15	8
