id	name	provider	price	units
0	0-product	8	98	18
1	1-product	9	47	1
2	2-product	5	75	15
3	3-product	5	63	16
4	4-product	3	1	3
5	5-product	5	92	7
6	6-product	7	16	19
7	7-product	6	27	12
8	8-product	5	81	18
9	9-product	8	2	4
10	10-product	8	42	6
11	11-product	8	9	12
12	12-product	2	54	7
13	13-product	0	30	5
14	14-product	2	79	6
15	15-product	4	32	12
16	16-product	4	5	13
17	17-product	1	12	11
18	18-product	7	90	16
19	19-product	5	8	9
20	20-product	4	47	19
21	21-product	8	73	19
22	22-product	1	61	19
23	23-product	0	7	10
24	24-product	8	29	3
25	25-product	2	11	6
26	26-product	1	86	16
27	27-product	6	9	18
28	28-product	5	94	19
29	29-product	6	10	1
30	30-product	5	57	8
31	31-product	5	9	1
32	32-product	3	30	3
33	33-product	7	39	2
34	34-product	6	48	1
35	35-product	0	19	17
36	36-product	4	1	5
37	37-product	2	44	18
38	38-product	4	95	2
39	39-product	6	81	16
40	40-product	7	7	11
41	41-product	6	22	19
42	42-product	5	52	6
43	43-product	9	39	2
44	44-product	4	97	12
45	45-product	5	12	10
46	46-product	0	97	15
47	47-product	7	92	17
48	48-product	4	3	18
49	49-product	5	92	15
50	50-product	5	71	1
51	51-product	1	1	3
52	52-product	9	39	7
53	53-product	4	33	9
54	54-product	0	54	11
55	55-product	4	37	6
56	56-product	9	75	16
57	57-product	7	45	11
58	58-product	1	64	7
59	59-product	5	99	12
60	60-product	3	92	15
61	61-product	5	80	7
62	62-product	9	25	11
63	63-product	0	35	6
64	64-product	5	65	17
65	65-product	7	62	8
66	66-product	7	70	1
67	67-product	1	71	18
68	68-product	3	61	3
69	69-product	8	51	9
70	70-product	0	59	10
71	71-product	0	34	4
72	72-product	4	93	18
73	73-product	7	91	18
74	74-product	1	41	19
75	75-product	8	4	11
76	76-product	6	1	20
77	77-product	5	86	15
78	78-product	5	1	1
79	79-product	1	82	8
80	80-product	3	54	7
81	81-product	0	79	20
82	82-product	4	43	19
83	83-product	0	10	15
84	84-product	4	79	10
85	85-product	9	83	19
86	86-product	2	15	7
87	87-product	7	87	10
88	88-product	1	42	4
89	89-product	5	47	8
90	90-product	3	17	2
91	91-product	4	9	4
92	92-product	1	99	11
93	93-product	5	92	1
94	94-product	6	34	7
95	95-product	6	30	17
96	96-product	8	66	12
97	97-product	6	84	2
98	98-product	9	60	16
99	99-product	1	94	14
100	100-product	0	50	4
101	101-product	6	84	5
102	102-product	2	53	16
103	103-product	5	91	1
104	104-product	5	71	12
105	105-product	1	84	1
106	106-product	5	46	1
107	107-product	5	83	7
108	108-product	7	20	4
109	109-product	8	60	8
110	110-product	9	62	3
111	111-product	8	85	14
112	112-product	7	8	5
113	113-product	7	40	1
114	114-product	9	24	17
115	115-product	7	12	19
116	116-product	5	5	8
117	117-product	1	17	12
118	118-product	0	52	6
119	119-product	5	96	15
120	120-product	2	88	17
121	121-product	9	60	6
122	122-product	1	36	9
123	123-product	0	93	6
124	124-product	6	67	13
125	125-product	6	81	18
126	126-product	7	60	19
127	127-product	0	36	18
128	128-product	6	12	11
129	129-product	1	2	5
130	130-product	3	52	4
131	131-product	9	8	5
132	132-product	9	74	7
133	133-product	4	90	6
134	134-product	9	76	2
135	135-product	8	88	15
136	136-product	1	83	20
137	137-product	8	83	7
138	138-product	6	24	20
139	139-product	2	71	5
140	140-product	7	24	6
141	141-product	1	21	14
142	142-product	3	12	10
143	143-product	6	96	11
144	144-product	8	100	5
145	145-product	4	7	20
146	146-product	4	33	3
147	147-product	1	9	17
148	148-product	7	1	11
149	149-product	7	84	3
150	150-product	5	19	19
151	151-product	4	13	15
152	152-product	5	50	18
153	153-product	0	92	1
154	154-product	6	97	6
155	155-product	3	58	6
156	156-product	2	63	12
157	157-product	5	39	20
158	158-product	8	68	18
159	159-product	3	11	19
160	160-product	9	26	20
161	161-product	1	85	10
162	162-product	5	65	1
163	163-product	5	51	16
164	164-product	2	78	9
165	165-product	8	54	6
166	166-product	3	96	6
167	167-product	3	64	8
168	168-product	7	31	12
169	169-product	7	18	4
170	170-product	8	39	5
171	171-product	3	59	18
172	172-product	8	38	12
173	173-product	5	41	12
174	174-product	9	32	11
175	175-product	4	31	6
176	176-product	3	44	1
177	177-product	1	6	12
178	178-product	6	22	15
179	179-product	8	45	6
180	180-product	1	47	10
181	181-product	1	35	14
182	182-product	5	99	3
183	183-product	0	15	11
184	184-product	2	44	16
185	185-product	3	55	15
186	186-product	3	73	11
187	187-product	3	28	9
188	188-product	9	86	8
189	189-product	5	100	6
190	190-product	2	11	10
191	191-product	5	88	6
192	192-product	8	37	12
193	193-product	4	13	10
194	194-product	8	60	14
195	195-product	2	95	12
196	196-product	7	64	13
197	197-product	4	76	5
198	198-product	2	23	3
199	199-product	5	26	13
200	200-product	4	83	4
201	201-product	7	45	19
202	202-product	5	24	11
203	203-product	4	25	17
204	204-product	9	38	6
205	205-product	7	32	11
206	206-product	6	11	2
207	207-product	3	30	11
208	208-product	4	85	20
209	209-product	9	78	1
210	210-product	8	50	15
211	211-product	8	22	10
212	212-product	1	13	2
213	213-product	2	45	3
214	214-product	7	60	2
215	215-product	5	70	4
216	216-product	9	62	9
217	217-product	0	53	18
218	218-product	0	49	14
219	219-product	1	60	15
220	220-product	8	52	17
221	221-product	3	59	2
222	222-product	6	84	16
223	223-product	2	64	16
224	224-product	7	13	9
225	225-product	2	25	20
226	226-product	6	70	19
227	227-product	9	65	18
228	228-product	5	64	7
229	229-product	8	72	19
230	230-product	8	27	10
231	231-product	8	12	12
232	232-product	6	54	13
233	233-product	5	65	18
234	234-product	8	69	9
235	235-product	5	75	5
236	236-product	9	48	5
237	237-product	8	2	4
238	238-product	0	17	12
239	239-product	5	57	2
240	240-product	8	58	8
241	241-product	8	29	5
242	242-product	0	63	11
243	243-product	9	47	13
244	244-product	6	85	18
245	245-product	3	35	5
246	246-product	9	81	10
247	247-product	3	11	2
248	248-product	7	9	13
249	249-product	8	85	15
250	250-product	7	59	2
251	251-product	2	84	16
252	252-product	3	56	14
253	253-product	2	77	19
254	254-product	0	53	16
255	255-product	2	94	14
256	256-product	8	63	11
257	257-product	9	82	19
258	258-product	3	21	11
259	259-product	4	24	14
260	260-product	5	95	8
261	261-product	9	79	14
262	262-product	3	99	12
263	263-product	6	56	13
264	264-product	0	47	8
265	265-product	5	89	3
266	266-product	6	39	6
267	267-product	7	5	16
268	268-product	2	59	18
269	269-product	3	62	5
270	270-product	2	37	6
271	271-product	5	73	6
272	272-product	3	58	13
273	273-product	7	77	18
274	274-product	6	80	2
275	275-product	8	79	20
276	276-product	3	1	7
277	277-product	4	94	5
278	278-product	5	48	3
279	279-product	3	39	12
280	280-product	4	55	3
281	281-product	3	40	4
282	282-product	1	22	2
283	283-product	9	99	8
284	284-product	9	28	2
285	285-product	8	96	10
286	286-product	8	26	4
287	287-product	1	63	3
288	288-product	7	91	10
289	289-product	9	51	20
290	290-product	5	44	19
291	291-product	6	96	1
292	292-product	7	20	10
293	293-product	1	11	20
294	294-product	0	17	10
295	295-product	8	7	6
296	296-product	3	15	16
297	297-product	8	1	4
298	298-product	3	3	14
299	299-product	5	56	19
300	300-product	6	14	3
301	301-product	4	4	10
302	302-product	0	8	9
303	303-product	0	19	2
304	304-product	8	5	14
305	305-product	8	95	5
306	306-product	7	47	6
307	307-product	2	38	13
308	308-product	2	7	16
309	309-product	3	83	5
310	310-product	5	53	4
311	311-product	5	75	14
312	312-product	9	80	13
313	313-product	0	77	3
314	314-product	9	48	10
315	315-product	8	30	20
316	316-product	2	79	6
317	317-product	8	5	15
318	318-product	5	3	1
319	319-product	4	57	6
320	320-product	1	66	18
321	321-product	6	43	1
322	322-product	1	6	13
323	323-product	7	64	1
324	324-product	2	26	4
325	325-product	2	76	10
326	326-product	7	95	10
327	327-product	7	67	10
328	328-product	7	73	14
329	329-product	0	27	16
330	330-product	9	13	5
331	331-product	4	97	15
332	332-product	8	11	17
333	333-product	6	77	19
334	334-product	2	32	15
335	335-product	7	2	19
336	336-product	6	62	5
337	337-product	0	93	6
338	338-product	2	57	6
339	339-product	5	22	12
340	340-product	6	36	11
341	341-product	6	93	13
342	342-product	5	70	6
343	343-product	3	33	14
344	344-product	7	45	9
345	345-product	0	14	19
346	346-product	5	9	7
347	347-product	3	94	19
348	348-product	6	99	3
349	349-product	5	67	11
350	350-product	8	35	4
351	351-product	6	11	10
352	352-product	1	32	20
353	353-product	4	55	15
354	354-product	9	81	19
355	355-product	6	46	11
356	356-product	0	12	18
357	357-product	9	99	1
358	358-product	2	7	11
359	359-product	8	28	7
360	360-product	6	70	14
361	361-product	1	71	10
362	362-product	4	84	12
363	363-product	9	29	3
364	364-product	5	33	10
365	365-product	2	19	7
366	366-product	5	15	17
367	367-product	6	57	9
368	368-product	4	80	19
369	369-product	4	84	7
370	370-product	0	52	4
371	371-product	9	34	20
372	372-product	5	2	11
373	373-product	7	51	3
374	374-product	3	16	1
375	375-product	6	38	7
376	376-product	7	33	20
377	377-product	3	51	19
378	378-product	9	33	9
379	379-product	1	58	1
380	380-product	9	58	3
381	381-product	0	12	18
382	382-product	1	80	19
383	383-product	7	34	1
384	384-product	0	79	20
385	385-product	5	7	18
386	386-product	7	86	3
387	387-product	6	13	3
388	388-product	8	54	4
389	389-product	0	23	17
390	390-product	2	47	19
391	391-product	7	70	7
392	392-product	7	31	17
393	393-product	6	9	17
394	394-product	3	54	15
395	395-product	1	65	11
396	396-product	6	91	9
397	397-product	1	71	5
398	398-product	7	89	12
399	399-product	3	3	8
400	400-product	8	14	19
401	401-product	2	90	7
402	402-product	1	79	16
403	403-product	1	61	11
404	404-product	0	38	12
405	405-product	7	22	17
406	406-product	3	15	12
407	407-product	1	30	15
408	408-product	5	28	18
409	409-product	6	69	10
410	410-product	9	89	13
411	411-product	3	54	2
412	412-product	0	97	13
413	413-product	4	2	17
414	414-product	5	29	12
415	415-product	4	84	14
416	416-product	8	44	3
417	417-product	4	95	5
418	418-product	9	11	18
419	419-product	4	31	12
420	420-product	6	16	18
421	421-product	1	76	6
422	422-product	7	69	18
423	423-product	2	18	20
424	424-product	9	71	2
425	425-product	3	59	14
426	426-product	6	94	4
427	427-product	7	76	2
428	428-product	7	58	8
429	429-product	1	100	17
430	430-product	5	38	11
431	431-product	4	22	16
432	432-product	0	76	16
433	433-product	2	36	17
