id	name	provider	price	units
0	0-product	0	55	3
1	1-product	2	55	6
2	2-product	2	22	4
3	3-product	1	40	17
4	4-product	0	80	7
5	5-product	1	38	2
6	6-product	2	71	12
7	7-product	1	79	20
8	8-product	0	31	20
9	9-product	0	71	20
10	10-product	2	89	18
11	11-product	1	68	17
12	12-product	1	21	4
13	13-product	2	18	19
14	14-product	0	91	18
15	15-product	2	14	6
16	16-product	2	74	14
17	17-product	2	65	7
18	18-product	1	7	15
19	19-product	2	51	7
20	20-product	2	63	20
21	21-product	1	51	13
22	22-product	0	75	10
23	23-product	1	55	14
24	24-product	0	46	15
25	25-product	2	50	14
26	26-product	1	41	2
27	27-product	0	64	15
28	28-product	2	19	9
29	29-product	2	41	6
30	30-product	1	32	17
31	31-product	2	23	16
32	32-product	1	77	19
33	33-product	2	79	1
34	34-product	0	24	12
35	35-product	2	70	5
36	36-product	1	1	4
37	37-product	1	85	14
38	38-product	0	6	14
39	39-product	1	35	17
40	40-product	1	59	14
41	41-product	2	32	7
42	42-product	1	52	13
43	43-product	2	28	20
44	44-product	1	8	18
45	45-product	1	99	11
46	46-product	1	8	4
47	47-product	0	29	15
48	48-product	0	9	11
49	49-product	2	19	9
50	50-product	2	93	6
51	51-product	2	32	2
52	52-product	1	37	12
53	53-product	2	8	2
54	54-product	0	25	20
55	55-product	0	49	18
56	56-product	1	83	4
57	57-product	2	43	16
58	58-product	0	39	1
59	59-product	1	44	5
60	60-product	2	44	16
61	61-product	0	85	16
62	62-product	2	69	20
63	63-product	0	99	13
64	64-product	2	31	6
65	65-product	0	63	4
66	66-product	1	89	1
67	67-product	2	29	3
68	68-product	2	3	16
69	69-product	1	97	16
70	70-product	1	100	20
71	71-product	1	56	16
72	72-product	2	97	18
73	73-product	2	80	2
74	74-product	1	28	3
75	75-product	1	8	8
76	76-product	1	42	19
77	77-product	2	61	6
78	78-product	2	10	11
79	79-product	1	67	15
80	80-product	2	64	3
81	81-product	0	86	15
82	82-product	0	84	18
83	83-product	1	11	16
84	84-product	0	41	4
85	85-product	1	14	2
86	86-product	1	56	3
87	87-product	1	46	20
88	88-product	1	18	19
89	89-product	1	26	8
90	90-product	2	69	8
91	91-product	0	98	19
92	92-product	1	65	13
93	93-product	0	56	8
94	94-product	2	78	20
95	95-product	2	75	10
96	96-product	1	49	18
97	97-product	1	85	7
98	98-product	1	90	12
99	99-product	0	50	10
